2026-01-07 13:50:50,280 | INFO     | ai_broker.execution | ExecutionEngine initialized - PAPER MODE ONLY
2026-01-07 13:51:38,428 | INFO     | ai_broker.execution | ExecutionEngine initialized - PAPER MODE ONLY
2026-01-07 13:51:38,786 | INFO     | ai_broker.news | News intelligence disabled
2026-01-07 13:51:38,838 | INFO     | ai_broker.execution | Reconciled 0 broker positions
2026-01-07 13:51:38,839 | INFO     | ai_broker.runtime | TradingEngine initialized with 10 symbols
2026-01-07 13:51:38,842 | INFO     | ai_broker.runtime | Starting main loop...
2026-01-07 14:41:09,821 | INFO     | ai_broker.patterns | Trained model on 100 samples
2026-01-07 14:41:09,822 | INFO     | ai_broker.runtime | Pattern model trained/retrained
2026-01-07 16:00:08,965 | INFO     | ai_broker.runtime | Market closed. Status: CLOSED (opens in 17h 29m) (opens in 17:29:51.034695)
2026-01-07 16:01:08,966 | INFO     | ai_broker.runtime | Market closed. Status: CLOSED (opens in 17h 28m) (opens in 17:28:51.033604)
2026-01-07 16:02:08,967 | INFO     | ai_broker.runtime | Market closed. Status: CLOSED (opens in 17h 27m) (opens in 17:27:51.032157)
2026-01-07 16:03:08,969 | INFO     | ai_broker.runtime | Market closed. Status: CLOSED (opens in 17h 26m) (opens in 17:26:51.030587)
2026-01-07 16:04:08,971 | INFO     | ai_broker.runtime | Market closed. Status: CLOSED (opens in 17h 25m) (opens in 17:25:51.028800)
2026-01-07 16:05:08,972 | INFO     | ai_broker.runtime | Market closed. Status: CLOSED (opens in 17h 24m) (opens in 17:24:51.027448)
2026-01-07 16:06:08,974 | INFO     | ai_broker.runtime | Market closed. Status: CLOSED (opens in 17h 23m) (opens in 17:23:51.025814)
2026-01-07 16:07:08,975 | INFO     | ai_broker.runtime | Market closed. Status: CLOSED (opens in 17h 22m) (opens in 17:22:51.024603)
2026-01-07 16:08:06,611 | INFO     | ai_broker.runtime | Shutdown requested (Ctrl+C)
2026-01-08 10:25:14,936 | INFO     | ai_broker.execution | ExecutionEngine initialized - PAPER MODE ONLY
2026-01-08 10:25:15,376 | INFO     | ai_broker.patterns | Loaded model with 100 samples
2026-01-08 10:25:15,377 | INFO     | ai_broker.news | News intelligence disabled
2026-01-08 10:25:15,411 | INFO     | ai_broker.execution | Reconciled 0 broker positions
